Prompt,Response
Q.yearborn,2004
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,2002
Q.yearborn,2001
Q.yearborn,2004
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,2002
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,2002
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,2003
Q.yearborn,2001
Q.yearborn,1998
Q.yearborn,2003
Q.yearborn,2000
Q.yearborn,2002
Q.yearborn,1997
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2002
Q.yearborn,2003
Q.yearborn,2003
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,2003
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2001
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,1999
Q.yearborn,2002
Q.yearborn,2004
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,2003
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,2003
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,2001
Q.yearborn,2002
Q.yearborn,1997
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,1997
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2003
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1997
Q.yearborn,2001
Q.yearborn,2003
Q.yearborn,2003
Q.yearborn,2001
Q.yearborn,2001
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2000
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,2002
Q.yearborn,2004
Q.yearborn,2001
Q.yearborn,2002
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2002
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,2004
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,2003
Q.yearborn,2003
Q.yearborn,2001
Q.yearborn,1997
Q.yearborn,1997
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,2001
Q.yearborn,2002
Q.yearborn,2003
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,2001
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,1998
Q.yearborn,2001
Q.yearborn,2001
Q.yearborn,1997
Q.yearborn,1999
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,2001
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,2002
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,2001
Q.yearborn,2002
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,1998
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,1997
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,1999
Q.yearborn,1999
Q.yearborn,1997
Q.yearborn,1997
Q.yearborn,2000
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,1997
Q.yearborn,1999
Q.yearborn,2001
Q.yearborn,2003
Q.yearborn,2003
Q.yearborn,1999
Q.yearborn,2000
Q.yearborn,2003
Q.yearborn,2002
Q.yearborn,2003
Q.yearborn,1997
Q.yearborn,2004
Q.yearborn,1998
Q.yearborn,1999
Q.yearborn,2002
Q.yearborn,2001
Q.yearborn,2000
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,2001
Q.yearborn,2002
Q.yearborn,2002
Q.yearborn,2001
Q.yearborn,1997
Q.yearborn,2003
Q.yearborn,1997
Q.yearborn,1997
Q.yearborn,1998
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,2002
Q.yearborn,1999
Q.yearborn,1997
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
